title,inbound_links,pageviews_3mo
2008 Zimbabwean cholera outbreak,252,316
2011 United States listeriosis outbreak,234,1572
2012 Sierra Leonean cholera outbreak,32,121
2015 junior doctors contract dispute in England,7,358
2009 swine flu pandemic in the Philippines by region,48,95
2009 swine flu pandemic in the United States,71,1072
2010s Haiti cholera outbreak,336,12103
2011 Germany E. coli O104:H4 outbreak,164,1930
2013–2014 Zika virus outbreaks in Oceania,0,249
2019 India doctors' strike,0,687
2019 Tonga measles outbreak,0,549
2018 Équateur Province Ebola outbreak,45,453
2019 Kuala Koh measles outbreak,0,228
2015–16 Zika virus epidemic,297,2699
2017 Puerto Rico leptospirosis outbreak,1,95
2017 Gorakhpur hospital deaths,157,1142
2016–2022 Yemen cholera outbreak,422,1456
2022 hepatitis of unknown origin in children,0,507
2021 hospital crisis in the U.S. from COVID-19,0,647
2020 Tablighi Jamaat COVID-19 hotspot in Malaysia,78,381
2020s anti-LGBTQ movement in the United States,0,14222
2021 Idar-Oberstein shooting,322,349
2022–2023 mpox outbreak,0,5220
2019–2020 dengue fever epidemic,34,490
2020 New Zealand euthanasia referendum,144,1597
2024 NEET controversy,0,37353
Abametapir,6,263
A Clinical Lesson at the Salpêtrière,44,3040
A Stranger in the Family,6,163
2023–2024 Oropouche virus disease outbreak,5,182
ABC (medicine),95,4256
2022–2023 mpox outbreak in North America,42,106
2024 Kwango province malaria outbreak,7,309
Abdominal trauma,146,2647
ABO-incompatible transplantation,98,389
Abiraterone acetate,207,
Abdominal aortic aneurysm,297,
Abdominal migraine,6,
Abdominoplasty,0,
John Abercrombie (physician),0,
Abdominal pregnancy,197,
Abortifacient,500,
Abortion debate,0,
Abortion in Europe,0,5728
Abortion in India,0,6890
Abortion in Eritrea,0,112
Abortion in Burundi,0,113
Abortion in Africa,459,839
Abortion in North Dakota,0,323
Abortion in North Carolina,160,866
Abortion in Ohio,0,1995
Abortion in Benin,41,214
Abortion in Oregon,0,684
Abortion in Russia,0,5161
Abortion in Pennsylvania,0,724
Abortion in Morocco,340,676
Abortion in Ivory Coast,331,215
Abortion in Texas,0,4330
Abortion in South Korea,169,2637
Abortion in the United States,0,22838
Abortion in Sudan,0,138
Abortion in Sweden,0,1384
Abortion in Rwanda,283,226
Abortion in Tennessee,0,1118
Abortion in Spain,217,1722
Abscess,0,43559
Abuse during childbirth,110,1349
Abstinence pledge,21,1973
Access to medicines,9,323
Abortion in Tunisia,336,508
Access to COVID-19 Tools Accelerator,24,253
Abortion-rights movement,0,4586
ACE inhibitor,500,15127
Acquired hand deformity,0,597
Acetazolamide,0,25185
Aceruloplasminemia,0,1593
Aciclovir,0,31786
Achromatopsia,197,15716
Achondroplasia,297,73538
Acetabular labrum tear,6,1480
Acquired idiopathic generalized anhidrosis,0,1245
Acrodermatitis enteropathica,85,842
Acrylamide,364,20995
Acute coronary syndrome,0,8464
Actinic keratosis,51,42702
Acupuncture,0,58184
Acrokeratoelastoidosis of Costa,77,1647
Amy Acton,0,156835
Acrocephalosyndactyly,79,2033
Acute lymphoblastic leukemia,0,22803
Acute liver failure,344,6288
Acute disseminated encephalomyelitis,305,11207
Acute fatty liver of pregnancy,195,2026
Acute kidney injury,0,12874
Acute flaccid myelitis,0,2505
Acute generalized exanthematous pustulosis,81,3131
Acute myeloid leukemia,0,56956
Acute pancreatitis,391,28314
Addison's disease,0,108677
Adaptation (eye),28,4761
Added sugar,0,1864
Acute radiation syndrome,500,100244
Adaptive immune system,0,8514
Acute respiratory distress syndrome,0,13685
John Gennings Curtis Adams,0,142
Adenocarcinoma of the lung,0,7443
Adenosine deaminase 2 deficiency,0,
Adeno-associated virus,161,
Adenomyoma,169,
Adenomyosis,144,
Adenine phosphoribosyltransferase deficiency,26,
Adenosine deaminase deficiency,97,
Adenoid hypertrophy,172,
Adolescent health,34,
Adrenal gland disorder,45,1139
Adolescent idiopathic scoliosis,3,465
Adrenal haemorrhage,0,1288
Adiponectin,219,3650
Alfred Adler,0,45401
Adrenocorticotropic hormone deficiency,0,2822
Adrenal cortex,260,5244
Adrenocorticotropic hormone (medication),0,1463
Adrenalism,0,388
Adrenocortical hormone,0,697
Adolescent sexuality in the United States,21,11772
Adrenaline,500,51606
Adrenal insufficiency,227,14017
Adrenergic blocking agent,1,554
Adrenal steroid,9,259
Aducanumab,137,2366
Adult polyglucosan body disease,54,1075
Adult T-cell leukemia/lymphoma,226,0
Adult neurogenesis,60,2134
Adult attention deficit hyperactivity disorder,42,11780
Adult diaper,167,8603
Adriana Smith pregnancy case,5,32653
Adrenoleukodystrophy,290,36612
Advanced emergency medical technician,54,936
Advance healthcare directive,156,4483
Advocate Aurora Health,0,3772
Aerobic vaginitis,9,1693
Aequorin,37,2808
AdventHealth,262,16470
Aeromedical evacuation,0,1207
